C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0000930073,0003448402                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0000930208,0003448708                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0000930285,0003448858                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0000930291,0003448883                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0000930294,0003448921                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0000930369,0003449145                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0000930481,0003449378                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0000930596,0003449612                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0000930661,0003449745                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0000930669,0003449751                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0000930682,0003450015                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0000930735,0003450749                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0000930826,0003451125                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0000931074,0003451723                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0000931167,0003451850                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0000931175,0003451864                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0000931194,0003452164                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0000931290,0003453096                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,16:00:00,REGULAR,0000931406,0003453461                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/20/2017,20:00:00,REGULAR,0000931679,0003454081                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,00:00:00,REGULAR,0000931791,0003454256                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,04:00:00,REGULAR,0000931798,0003454262                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,08:00:00,REGULAR,0000931810,0003454557                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,12:00:00,REGULAR,0000931864,0003455366                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,16:00:00,REGULAR,0000931954,0003455760                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/21/2017,20:00:00,REGULAR,0000932244,0003456382                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,00:00:00,REGULAR,0000932354,0003456538                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,04:00:00,REGULAR,0000932359,0003456547                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,08:00:00,REGULAR,0000932370,0003456777                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,12:00:00,REGULAR,0000932432,0003457572                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,16:00:00,REGULAR,0000932556,0003457923                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/22/2017,20:00:00,REGULAR,0000932820,0003458541                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,00:00:00,REGULAR,0000932923,0003458742                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,04:00:00,REGULAR,0000932929,0003458751                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,08:00:00,REGULAR,0000932938,0003459019                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,12:00:00,REGULAR,0000932990,0003459774                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,16:00:00,REGULAR,0000933120,0003460210                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,06/23/2017,20:00:00,REGULAR,0000933393,0003460737                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0000325205,0000522449                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0000325253,0000522483                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0000325289,0000522583                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0000325497,0000522933                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0000325788,0000523244                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0000326136,0000523540                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0000326363,0000523702                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0000326400,0000523740                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0000326432,0000523789                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0000326658,0000524011                                            
